北安线,0,30,曹安公路绿苑路,安亭汽车站
北安线,1,7,曹安公路绿苑路,北区汽车站
嘉松线,0,11,老宅,松江客运中心
嘉松线,1,23,老宅,嘉定客运中心
嘉定63路,0,15,老宅,黄渡汽车站
嘉定63路,1,5,老宅,公交嘉定北站
嘉定123路,0,4,老宅,上海赛车场
嘉定123路,1,14,老宅,黄渡汽车站
嘉松线,0,13,绿苑路曹安公路,松江客运中心
嘉松线,1,21,绿苑路曹安公路,嘉定客运中心
嘉定63路,0,17,绿苑路曹安公路,黄渡汽车站
嘉定109路,0,6,绿苑路曹安公路,邓家角村
嘉定109路,1,10,绿苑路曹安公路,联群村
嘉定112路,0,13,绿苑路曹安公路,联西村
嘉定112路,1,15,绿苑路曹安公路,和静路安亭老街
嘉定123路,0,2,绿苑路曹安公路,上海赛车场
嘉定123路,1,16,绿苑路曹安公路,黄渡汽车站
